grade_key,grade,price,currency,level,updated_utc,usd_ugx_rate,date
arabica_parchment,Arabica Parchment,16000.0,UGX/kg,farmgate,2026-08-03T03:01:45.652668+00:00,3724.68,2026-08-03
bugisu_a,Bugisu A,317.05,USc/kg,fob,2026-08-03T03:01:45.652668+00:00,3724.68,2026-08-03
bugisu_aa,Bugisu Aa,318.05,USc/kg,fob,2026-08-03T03:01:45.652668+00:00,3724.68,2026-08-03
bugisu_b,Bugisu B,315.05,USc/kg,fob,2026-08-03T03:01:45.652668+00:00,3724.68,2026-08-03
bugisu_pb,Bugisu Pb,317.05,USc/kg,fob,2026-08-03T03:01:45.652668+00:00,3724.68,2026-08-03
drugar,Drugar,297.05,USc/kg,fob,2026-08-03T03:01:45.652668+00:00,3724.68,2026-08-03
faq,Faq,12000.0,UGX/kg,farmgate,2026-08-03T03:01:45.652668+00:00,3724.68,2026-08-03
kiboko,Kiboko,5500.0,UGX/kg,farmgate,2026-08-03T03:01:45.652668+00:00,3724.68,2026-08-03
screen_12,Screen 12,179.8,USc/kg,fob,2026-08-03T03:01:45.652668+00:00,3724.68,2026-08-03
screen_15,Screen 15,182.8,USc/kg,fob,2026-08-03T03:01:45.652668+00:00,3724.68,2026-08-03
screen_18,Screen 18,187.8,USc/kg,fob,2026-08-03T03:01:45.652668+00:00,3724.68,2026-08-03
wugar,Wugar,316.05,USc/kg,fob,2026-08-03T03:01:45.652668+00:00,3724.68,2026-08-03
